Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
M017_R2_001_val_2	M017_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41586979.0	0.0	20-130	21.0	84.06234574080999	124.5618259503774	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass	fail
M018_R1_001_val_1	M018_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43335579.0	0.0	20-130	21.0	79.57424070765916	125.91259999087586	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	fail
M018_R2_001_val_2	M018_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43335579.0	0.0	20-130	21.0	84.40876153062177	124.93414595891288	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass	fail
M019_R1_001_val_1	M019_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41125006.0	0.0	20-130	21.0	80.13546709742687	125.88558781000543	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	fail
M019_R2_001_val_2	M019_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41125006.0	0.0	20-130	21.0	84.5922747845143	124.92117141575615	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass	fail
M020_R1_001_val_1	M020_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44576598.0	0.0	20-130	21.0	78.39614755244604	126.16707845224079	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	fail
M020_R2_001_val_2	M020_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44576598.0	0.0	20-130	21.0	83.4673814771092	125.15078750513891	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass	fail
M021-RESUB_R1_001_val_1	M021-RESUB_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42143805.0	0.0	20-130	20.0	79.21510757400223	126.29060389777335	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass	fail
M021-RESUB_R2_001_val_2	M021-RESUB_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42143805.0	0.0	20-130	21.0	83.67321710650954	125.34973700167795	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass	fail
M022_R1_001_val_1	M022_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29781632.0	0.0	20-130	21.0	80.48546366660115	125.88928608747835	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	fail
M022_R2_001_val_2	M022_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29781632.0	0.0	20-130	21.0	84.8509412337096	124.85530863453018	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass	fail
M023_R1_001_val_1	M023_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39347878.0	0.0	20-130	21.0	79.90957628928012	125.460358929648	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	fail
M023_R2_001_val_2	M023_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39347878.0	0.0	20-130	21.0	83.97030521446497	124.49685596768396	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass	fail
M024_R1_001_val_1	M024_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39738443.0	0.0	20-130	21.0	79.42695559090191	125.99154078583301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	fail
M024_R2_001_val_2	M024_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39738443.0	0.0	20-130	21.0	83.66509973767162	124.98733146137607	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass	fail
M025_R1_001_val_1	M025_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39760734.0	0.0	20-130	21.0	79.56019236654555	126.05585070436577	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	fail
M025_R2_001_val_2	M025_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39760734.0	0.0	20-130	21.0	83.79472332271502	125.04880915930778	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass	fail
M026_R1_001_val_1	M026_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36787191.0	0.0	20-130	21.0	80.61898578149564	125.91267512107679	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	fail
M026_R2_001_val_2	M026_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36787191.0	0.0	20-130	21.0	84.36304966665199	124.96432744756184	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass	fail
