gene_id	GO.IDs
comp10155_c0_seq1	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0004682;GO:0004691;GO:0005952;GO:0005956;GO:0008603;GO:0008605
comp10157_c0_seq1	GO:0004835;GO:0006464
comp10158_c0_seq1	GO:0005215;GO:0006810;GO:0008021;GO:0016020;GO:0007268
comp10158_c0_seq1	GO:0005215;GO:0006810;GO:0008021;GO:0016020;GO:0007268
comp10159_c0_seq1	GO:0005215;GO:0006810;GO:0016021;GO:0016020;GO:0015101;GO:0015226
comp10160_c0_seq1	GO:0005488;GO:0006810;GO:0016020;GO:0005743
comp10167_c0_seq1	GO:0005509;GO:0005544;GO:0050819;GO:0047394
comp10170_c0_seq1	GO:0005507;GO:0006950;GO:0006979;GO:0034599
comp10175_c0_seq1	GO:0005099
comp10177_c0_seq1	GO:0003993;GO:0004871;GO:0005834;GO:0007186
comp10179_c0_seq1	GO:0003847
comp1018_c0_seq1	GO:0003779;GO:0005737;GO:0007010
comp10180_c0_seq1	GO:0016874;GO:0004658
comp10180_c0_seq1	GO:0016874;GO:0004658
comp10181_c0_seq1	GO:0006281
comp10182_c0_seq1	GO:0004653
comp10184_c0_seq1	GO:0004867;GO:0002226;GO:0042381
comp10184_c0_seq1	GO:0004867;GO:0002226;GO:0042381
comp10185_c0_seq1	GO:0005215;GO:0006810;GO:0016021
comp10186_c0_seq1	GO:0003677;GO:0005634
comp10187_c0_seq1	GO:0003676;GO:0005622;GO:0008408
comp10191_c0_seq1	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0004675;GO:0004676;GO:0004677;GO:0004679;GO:0004680;GO:0004681;GO:0004683;GO:0004686;GO:0004688;GO:0004689;GO:0004690;GO:0004692;GO:0004693;GO:0004694;GO:0004695;GO:0004696;GO:0004697;GO:0004698;GO:0004700;GO:0004701;GO:0004702;GO:0004703;GO:0004704;GO:0004705;GO:0004706;GO:0004707;GO:0004708;GO:0004709;GO:0004710;GO:0004711;GO:0004712;GO:0004714;GO:0004715;GO:0004716;GO:0004718;GO:0008338;GO:0008339;GO:0008349;GO:0008384;GO:0008443;GO:0008545;GO:0008607;GO:0008819;GO:0016307;GO:0016538;GO:0016773;GO:0016908;GO:0016909;GO:0018720;GO:0019199;GO:0019912;GO:0019914;GO:0035004;GO:0042556;GO:0042557
comp10192_c0_seq1	GO:0003676;GO:0005634
comp10195_c0_seq1	GO:0018024;GO:0040029;GO:0016570
comp10198_c0_seq1	GO:0040029;GO:0016570
comp10198_c0_seq1	GO:0040029;GO:0016570
comp10198_c0_seq1	GO:0040029;GO:0016570
comp10198_c0_seq1	GO:0040029;GO:0016570
comp102_c0_seq1	GO:0005515;GO:0003774;GO:0005200;GO:0005884
comp10201_c0_seq1	GO:0003840
comp10206_c0_seq1	GO:0004672;GO:0005524;GO:0006468;GO:0006457;GO:0031072;GO:0051082;GO:0006950;GO:0033554;GO:0061077
comp10208_c0_seq1	GO:0003950
comp10212_c0_seq1	GO:0004221;GO:0007268;GO:0048167
comp10213_c0_seq1	GO:0004806
comp10219_c0_seq1	GO:0006118;GO:0003979
comp10219_c0_seq1	GO:0006118;GO:0003979
comp10220_c0_seq1	GO:0006412
comp10225_c0_seq1	GO:0003723;GO:0005786;GO:0006605
comp10228_c0_seq1	GO:0030144
comp10231_c0_seq1	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0004684;GO:0004685;GO:0005954;GO:0007268;GO:0048167
comp10235_c0_seq1	GO:0005515;GO:0042981
comp10237_c0_seq1	GO:0007242
comp10238_c0_seq1	GO:0004326
comp10239_c0_seq1	GO:0005524;GO:0006139;GO:0019201;GO:0016776;GO:0004017;GO:0046899
comp1024_c0_seq1	GO:0006886;GO:0030125;GO:0016251
comp10240_c0_seq1	GO:0003676;GO:0003723
