gene,Fish_kME
isogroup1128,0
isogroup11280,0
isogroup11281,0
isogroup11282,0
isogroup11283,0
isogroup11286,0
isogroup11288,0
isogroup1129,0
isogroup11291,0
isogroup11292,0
isogroup11293,0
isogroup11294,0
isogroup11296,0
isogroup11299,0
isogroup113,0
isogroup1130,0
isogroup11300,0
isogroup11302,0
isogroup11304,0
isogroup11305,0
isogroup11306,0
isogroup11309,0
isogroup1131,0
isogroup11310,0
isogroup11313,0
isogroup11315,0
isogroup11316,0
isogroup11317,0
isogroup11319,0
isogroup1132,0
isogroup11320,0
isogroup11321,0
isogroup11322,0
isogroup11324,0
isogroup11326,0
isogroup11327,0
isogroup11328,0
isogroup11329,0
isogroup1133,0
isogroup11330,0
isogroup11332,0
isogroup11333,0
isogroup11334,0
isogroup11335,0
isogroup11336,0
isogroup11339,0
isogroup1134,0
isogroup11340,0
isogroup11342,0
isogroup11344,0
isogroup11345,0
isogroup11346,0
isogroup1135,0
isogroup11350,0
isogroup11351,0
isogroup11352,0
isogroup11355,0
isogroup11356,0
isogroup11357,0
isogroup11358,0
isogroup11360,0
isogroup11361,0.737890443135737
isogroup11362,0
isogroup11365,0
isogroup11366,0
isogroup11367,0
isogroup11368,0
isogroup11369,0
isogroup1137,0
isogroup11370,0
isogroup11371,0
isogroup11372,0
isogroup11373,0
isogroup11374,0
isogroup11377,0
isogroup11378,0
isogroup11379,0
isogroup1138,0
isogroup11381,0
isogroup11385,0
isogroup11386,0
isogroup11387,0
isogroup11389,0
isogroup11390,0
isogroup11391,0
isogroup11392,0
isogroup11393,0
isogroup11394,0
isogroup11395,0
isogroup11396,0
isogroup11398,0
isogroup114,0
isogroup1140,0
isogroup11400,0
isogroup11401,0
isogroup11403,0
isogroup11405,0
isogroup11406,0
isogroup11409,0
isogroup11410,0
isogroup11411,0
isogroup11412,0
isogroup11413,0
isogroup11414,0
isogroup11415,0
isogroup11416,0
isogroup11417,0
isogroup11418,0
isogroup1142,0
isogroup11420,0
isogroup11422,0
isogroup11423,0
isogroup11424,0
isogroup11426,0
isogroup11427,0
isogroup11428,0
isogroup11429,0
isogroup1143,0
isogroup11430,0
isogroup11431,0
isogroup11432,0
isogroup11434,0
isogroup11435,0
isogroup11437,0
isogroup11439,0
isogroup1144,0
isogroup11440,0
isogroup11441,0
isogroup11442,0
isogroup11444,0
isogroup11446,0
isogroup11447,0
isogroup11448,0
isogroup11449,0
isogroup1145,0
isogroup11450,0
isogroup11451,0
isogroup11452,0
isogroup11453,0
isogroup11454,0
isogroup11456,0
isogroup11457,0
isogroup1146,0
isogroup11460,0
isogroup11461,0
isogroup11462,0
isogroup11465,0
isogroup11467,0
isogroup11469,0
isogroup1147,0
isogroup11470,0
isogroup11471,0
isogroup11472,0
isogroup11473,0
isogroup11475,0
