gene_id,log2fold
comp10142_c0_seq1,-0.500557100708946
comp10143_c0_seq1,-0.341120125109986
comp10145_c0_seq1,0.0343348889765154
comp10146_c0_seq1,-0.0602961639977294
comp10147_c0_seq1,-0.677756245504459
comp10149_c0_seq1,0.109797501344173
comp1015_c0_seq1,-0.135091116223855
comp10150_c0_seq1,-0.0889464555981828
comp10151_c0_seq1,-0.0575356987901513
comp10152_c0_seq1,0.0203201710501367
comp10153_c0_seq1,0.0177003354783068
comp10154_c0_seq1,-0.0479067390053475
comp10155_c0_seq1,0.0152567511956189
comp10156_c0_seq1,0.0297857672442369
comp10157_c0_seq1,-0.0019758353017953
comp10158_c0_seq1,-0.0576238644065508
comp10159_c0_seq1,0.291873727583737
comp10160_c0_seq1,-0.0395742229818425
comp10163_c0_seq1,-0.0379358101793625
comp10164_c0_seq1,-0.0501272198244226
comp10165_c0_seq1,-0.0113891919441249
comp10167_c0_seq1,-0.0323087353159206
comp10168_c0_seq1,0.0847235090676291
comp10169_c0_seq1,1.55282367407912
comp10170_c0_seq1,0.0392016387424293
comp10171_c0_seq1,0.151751145181852
comp10172_c0_seq1,-0.0611290793915043
comp10173_c0_seq1,-0.0209750835721099
comp10175_c0_seq1,-0.064326190400774
comp10177_c0_seq1,-0.00412338417139214
comp10178_c0_seq1,0.0729613737638268
comp10179_c0_seq1,-0.040976064901371
comp1018_c0_seq1,0.0328478345142625
comp10180_c0_seq1,-0.0101305468779995
comp10181_c0_seq1,0.0185031144571663
comp10182_c0_seq1,-0.0350522156132624
comp10184_c0_seq1,0.0561401335158615
comp10185_c0_seq1,-0.282718926908445
comp10186_c0_seq1,-0.0123020661810914
comp10187_c0_seq1,-0.0747018438437262
comp10188_c0_seq1,-0.0520953776480834
comp10189_c0_seq1,-0.00667676073573604
comp1019_c0_seq1,-0.0607115902684211
comp10190_c0_seq1,-0.296960489909429
comp10191_c0_seq1,-0.134338470931819
comp10192_c0_seq1,0.0115703416527071
comp10193_c0_seq1,0.031675955590379
comp10195_c0_seq1,-0.00351414132343954
comp10197_c0_seq1,-0.202254941810715
comp10198_c0_seq1,0.00635445211620966
comp102_c0_seq1,0.224508779506231
comp10201_c0_seq1,0.322827357472261
comp10202_c0_seq1,-0.110515911559788
comp10205_c0_seq1,-0.378771803470379
comp10206_c0_seq1,-0.159670271500212
comp10207_c0_seq1,0.208715450742504
comp10208_c0_seq1,0.0105444663411438
comp1021_c0_seq1,-0.981288715091745
comp10210_c0_seq1,-0.0126775068868596
comp10211_c0_seq1,-0.0100464153276046
comp10213_c0_seq1,0.773843224755606
comp10214_c0_seq1,-0.118150589432414
comp10218_c0_seq1,-0.091824115553217
comp10219_c0_seq1,-0.082552243436551
comp1022_c0_seq1,0.066374311185739
comp10220_c0_seq1,-0.0197371238778161
comp10221_c0_seq1,-0.0857511883484618
comp10222_c0_seq1,-0.0102018073616695
comp10223_c0_seq1,0.0480036975027001
comp10224_c0_seq1,-0.419117329095114
comp10225_c0_seq1,0.00971598249717405
comp10227_c0_seq1,-0.0636290340250397
comp10228_c0_seq1,-0.00516403056011301
comp10229_c0_seq1,-0.0449210331940724
comp1023_c0_seq1,0.0678661464968222
comp10230_c0_seq1,-0.682413367812563
