#Feature ID	taxonomy	Confidence
70292dcddd59f8f45c4dc3494227fd52	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae	0.9998967147619287
e40fccfa2db4f3a8868daeb278948814	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast	0.9999999982869512
a609e18227806d5ecf6bd8ef314bcc25	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.9999999988306978
c2517a0ca0b7e3d034430e1243ee9311	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Hyphomonadaceae; g__uncultured	0.9886048200520193
a7d01a632dc931326b5fa38c5eab3ad9	d__Bacteria; p__Bacteroidota; c__Bacteroidia	0.9998777740689114
add8a5ddec44641ff0f5267e05aff57e	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales	0.7436070432899035
40522c63a356cae0920db15a16ac2989	d__Bacteria; p__Patescibacteria; c__Gracilibacteria; o__Gracilibacteria; f__Gracilibacteria; g__Gracilibacteria; s__uncultured_bacterium	0.9740182047595667
fe08a565eae6179959baaae74aed071d	d__Bacteria; p__Campilobacterota; c__Campylobacteria; o__Campylobacterales; f__Helicobacteraceae; g__uncultured	0.9999984328853259
7b10ce4d8504cc07acec412a38f31698	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__OM182_clade; f__OM182_clade; g__OM182_clade; s__uncultured_gamma	0.9507690091309715
4eced66a8de926a1edd48f94e0be9d62	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__uncultured; s__uncultured_Alphaproteobacteria	0.902168256966897
26e8f4a3c2849d4ae1f0f238f545b87b	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Ruegeria	0.9816988911662555
619d8e4d66457d7610017c4a60ffad90	d__Bacteria	0.9100686359760828
b09e7d9b29c23a9950cd6f80e23539b7	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Eurycoccales; f__Eurycoccales_Incertae_Sedis; g__Synechococcus_PCC-7336; s__uncultured_bacterium	0.7954951079585877
4ee41b7c14e6916ff6cf0b757e5beb69	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Fokiniaceae; g__MD3-55	0.9999999999999654
c9b3c9e67bda6929657d5792f9bf09c8	d__Bacteria	0.9959598612122957
b02a8d33d018119dedb2db15db887bfd	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Cutibacterium	0.9999997969604226
4129ade7accdb1b9231e01523c640771	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Endozoicomonadaceae; g__Endozoicomonas; s__Endozoicomonas_atrinae	0.9733459533841855
ec9d4c06ffa46872e2816cc038c12dc2	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__Dictyopteris_undulata	0.9999425107610769
eb5b1738f9e8746dba8c6a5f3308eca8	d__Bacteria; p__Bacteroidota; c__Bacteroidia	0.9996272766331867
9fae180100965f03f0705863528e069d	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae	0.9999999954460421
51532417b1af7b0030a7b31d7a65be6a	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Ruegeria	0.9785928789987475
